CNN,STREET,ST_TYPE,STREET_GC,FROM_ST,TO_ST,SPEEDLIMIT,SCHOOLZONE,SCHOOLZONE_LIMIT,MTAB_DATE,MTAB_MOTION,MTAB_RESO_TEXT,STATUS,WORKORDER,shape
8409000,LISBON,ST,,PERSIA AVE,RUSSIA AVE,0,,,,,,,,"LINESTRING (-122.43359312680553 37.72199528218835, -122.43477174680902 37.72043997240242)"
8404000,LISBON,ST,,PERU AVE,AVALON AVE,0,,,,,,,,"LINESTRING (-122.42888983578975 37.728216772333, -122.43006629679397 37.72665832054717)"
8403000,LISBON,ST,,SILVER AVE,PERU AVE,0,,,,,,,,"LINESTRING (-122.42865375878888 37.72852949329004, -122.42888983578975 37.728216772333)"
8405000,LISBON,ST,,AVALON AVE,AVALON AVE,15,true,,,,,,,"LINESTRING (-122.43006629679397 37.72665832054717, -122.43015648879434 37.72653883856359)"
8405000,LISBON,ST,LISBON,,,15,true,,,,,,,"LINESTRING (-122.43006629579398 37.726658320547166, -122.43015648879434 37.72653883856359)"
8413000,LISBON,ST,,AMAZON AVE,GENEVA AVE,0,,,,,,,,"LINESTRING (-122.43788734381978 37.71631466396927, -122.4386109448285 37.7153023951054)"
8758202,MARKET,ST,,GOUGH ST,VALENCIA ST,25,,,,,,,,"LINESTRING (-122.4221732226238 37.77290417916194, -122.42258155160013 37.77258197021828, -122.42260647460613 37.77249787422707)"
8759201,MARKET,ST,,VALENCIA ST,OCTAVIA ST,25,,,,,,,,"LINESTRING (-122.42260647460613 37.77249787422707, -122.422718815592 37.772475138237134, -122.42358229054206 37.771793058356344, -122.42360630754783 37.77171201736472)"
8752101,MARKET,ST,,HYDE ST,LARKIN ST,0,,,,,,,,"LINESTRING (-122.41472800706288 37.7787144851399, -122.41475182906845 37.77863589514807, -122.4161737779867 37.777508097344814, -122.41627848697331 37.77748889835403)"
8760201,MARKET,ST,,OCTAVIA ST,LAGUNA ST,25,,,,,,,,"LINESTRING (-122.42360630754783 37.77171201736472, -122.42371194953454 37.77169063737423, -122.42481536747012 37.77082384252611, -122.42483938347593 37.77074280253454)"
8753101,MARKET,ST,,LARKIN ST,POLK ST,0,,,,,,,,"LINESTRING (-122.41627848697331 37.77748889835403, -122.4163038909792 37.7774050833628, -122.41737885891699 37.77655600751123, -122.41748824690298 37.776535949520834)"
8754101,MARKET,ST,,POLK ST,11TH ST,0,,,,,,,,"LINESTRING (-122.41748824690298 37.776535949520834, -122.41751478690908 37.77644838653002, -122.41864536784398 37.77555321768622)"
8755101,MARKET,ST,,VAN NESS AVE,PAGE ST,0,,,,,,,,"LINESTRING (-122.41924239080237 37.775142129763715, -122.41926615280813 37.77506167977204, -122.42013575475801 37.77437311289224, -122.42024106374453 37.77435373090152)"
8756101,MARKET,ST,,PAGE ST,FRANKLIN ST,0,,,,,,,,"LINESTRING (-122.42024106374453 37.77435373090152, -122.4202657357505 37.77427018891021, -122.42057844373251 37.774022575953424, -122.4206855577188 37.77400286196286)"
8757101,MARKET,ST,,FRANKLIN ST,BRADY ST,25,,,,,,,,"LINESTRING (-122.4206855577188 37.77400286196286, -122.42071065472489 37.77391788597171, -122.42121893969518 37.77351843604168)"
8758101,MARKET,ST,,GOUGH ST,VALENCIA ST,25,,,,,,,,"LINESTRING (-122.42192803164573 37.77303110713363, -122.42195492665228 37.77294003214309, -122.42249744062056 37.772513937217745, -122.42260647460613 37.77249787422707)"
8761201,MARKET,ST,,LAGUNA ST,BUCHANAN ST,25,,,,,,,,"LINESTRING (-122.42483938347593 37.77074280253454, -122.42494502246261 37.77072141954403, -122.42627221038512 37.76967869572675, -122.42629622239093 37.76959765373519)"
8759101,MARKET,ST,,VALENCIA ST,OCTAVIA ST,25,,,,,,,,"LINESTRING (-122.42260647460613 37.77249787422707, -122.4226333526127 37.77240685123647, -122.42349694456227 37.77172813035542, -122.42360630754783 37.77171201736472)"
8761101,MARKET,ST,,LAGUNA ST,BUCHANAN ST,25,,,,,,,,"LINESTRING (-122.42483938347593 37.77074280253454, -122.42486620848243 37.770651950544, -122.42618711340538 37.769613731725904, -122.42629622239093 37.76959765373519)"
