CNN,STREET,ST_TYPE,STREET_GC,FROM_ST,TO_ST,SPEEDLIMIT,SCHOOLZONE,SCHOOLZONE_LIMIT,MTAB_DATE,MTAB_MOTION,MTAB_RESO_TEXT,STATUS,WORKORDER,shape
7905000,KNOLLVIEW,WAY,,OLYMPIA WAY,CITYVIEW WAY,0,,,,,,,,"LINESTRING (-122.45105388981881 37.75124445605223, -122.45105009697971 37.74985881016594, -122.45107444699552 37.749690669181604, -122.45121706001235 37.7493609852191, -122.45122808202491 37.749238502230014, -122.4512252220728 37.74882809726353)"
7907000,KNOTT,CT,,WATT AVE,END: 2-99 BLOCK,0,,,,,,,,"LINESTRING (-122.44089014320328 37.709101934782396, -122.44146304214028 37.70890672284018)"
19420000,KOBBE,AVE,,POPE ST,TODD ST,0,,,,,,,,"LINESTRING (-122.47433950884285 37.798697842854544, -122.47427988285291 37.79868723285104, -122.47402366489969 37.798614035838305)"
19421000,KOBBE,AVE,,TODD ST,UPTON AVE,0,,,,,,,,"LINESTRING (-122.47402366489969 37.798614035838305, -122.4738037139391 37.798557081826885, -122.47348349799265 37.798506969807576)"
19417000,KOBBE,AVE,,WASHINGTON BLVD,HARRISON BLVD,0,,,,,,,,"LINESTRING (-122.47778426027105 37.79919634906559, -122.47757804130048 37.79920826004952, -122.47723258734509 37.79926769901943, -122.47686921339792 37.799279358991875, -122.47653357845292 37.799236750970834, -122.47616941552299 37.79910159595527, -122.47582787358897 37.79897211994092)"
19422000,KOBBE,AVE,,UPTON AVE,PARK BLVD,0,,,,,,,,"LINESTRING (-122.47348349799265 37.798506969807576, -122.47310875904552 37.79853318977801, -122.47277261908162 37.798654192743506, -122.47207274413233 37.79911697565439, -122.47174685715913 37.79930426661517, -122.47144570119404 37.79939079858605, -122.47108399524467 37.79941907155727, -122.47082946028996 37.799356646543764, -122.47062194234373 37.79916007454473, -122.47025723948177 37.79844009957714, -122.46992775258201 37.7980004755891, -122.4696753336366 37.79785464058259, -122.46941135767851 37.79783256956508, -122.46916445070553 37.79791750354005, -122.46903278771116 37.798038244520555)"
19418000,KOBBE,AVE,,HARRISON BLVD,GREENOUGH AVE,0,,,,,,,,"LINESTRING (-122.47582787358897 37.79897211994092, -122.47535474866862 37.79889369591277, -122.47487483574878 37.79881976388371)"
19416000,KOBBE,AVE,,LINCOLN BLVD,WASHINGTON BLVD,0,,,,,,,,"LINESTRING (-122.47869811320173 37.79862026417971, -122.47848722021446 37.79878110515112, -122.47834827822153 37.798898707131286, -122.47820518223145 37.79899716911274, -122.47796984725201 37.799122385085276, -122.47778426027105 37.79919634906559)"
19419000,KOBBE,AVE,,GREENOUGH AVE,POPE ST,0,,,,,,,,"LINESTRING (-122.47487483574878 37.79881976388371, -122.47433950884285 37.798697842854544)"
7908000,KRAMER,PL,,GREENWICH ST,PARDEE ALY,0,,,,,,,,"LINESTRING (-122.40824762327578 37.80246139671151, -122.40819094231755 37.80217437373099)"
