OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,point,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
9813,Woodside Ave&Balceta Ave SW-NS/SB,WDSDBAL1,WDSDBALC,6933,37.746489,-122.456441,0,BALCETA AVE,WOODSIDE AVE,NS,SW,FL,0,04/20/2020 11:54:43 AM +0000,2209775,121,,"(37.746484060835805, -122.45642778256747)",49,7,8,41
9115,Silver Ave&Lisbon St NE-NS/PS,SILVLIS1,,7431,37.728606,-122.428571,0,LISBON ST,SILVER AVE,,,,0,04/20/2020 11:54:43 AM +0000,2203463,121,,"(37.72860106027715, -122.42855778879495)",94,9,1,7
7930,Transit Center Bay 29,TBAYDECK,,7948,37.790136,-122.396146,0,MISSION ST,FREMONT ST,,,,0,04/20/2020 11:54:43 AM +0000,2210682,121,,"(37.79013105284111, -122.39613278651888)",32,1,10,8
10592,Mission St&Acton St E-FS/BZ,MISSACT1,MISSACTN,5574,37.708808,-122.452578,0,LAWRENCE AVE,MISSION ST,FS,E,BZ,1,04/20/2020 11:54:43 AM +0000,2205806,121,,"(37.70880306365658, -122.45256478749522)",58,9,1,7
8566,Castro St&23RD St W-MI/SB,CTRO23S0,CTRO23ST,4325,37.752895,-122.434316,0,23RD ST,CASTRO ST,MI,W,,0,04/20/2020 11:54:43 AM +0000,2210176,121,,"(37.75289005869495, -122.43430278512947)",84,3,5,22
8001,Geary St&Jones St NW-FS/BZ,GEARJON0,GEARJONE,4300,37.786769,-122.413332,0,JONES ST,GEARY ST,FS,NW,BZ,1,04/20/2020 11:54:43 AM +0000,2203807,121,,"(37.786764054374224, -122.41331878434)",50,6,3,36
9266,Mission St&6th St E-FS/BZ,MISS 6S1,MISS 6ST,5537,37.78119,-122.40831,0,6TH ST,MISSION ST,FS,E,BZ,0,04/20/2020 11:54:43 AM +0000,2205212,121,,"(37.78118505446666, -122.40829678573773)",32,1,10,34
11139,Beale St&Mission St W-MB/BZ,BEALMIS0,BEALMISS,3089,37.791939,-122.396879,0,DAVIS ST,BEALE ST,MB,W,BZ,1,04/20/2020 11:54:43 AM +0000,2202671,121,,"(37.79193405274616, -122.39686578620002)",108,6,10,8
11021,Geary Blvd&Spruce St NE-NS/BZ,GEARSPR0,GEARSPRC,4762,37.781849,-122.453075,0,SPRUCE ST,GEARY BLVD,NS,NE,BZ,0,04/20/2020 11:54:43 AM +0000,2204416,121,,"(37.78184405768285, -122.45306177897429)",11,8,6,31
10807,Divisadero St&Jackson St SE-NS/PS,DIVIJAC1,DIVIJACK,4427,37.79154,-122.44108,0,JACKSON ST,DIVISADERO ST,NS,SE,,0,04/20/2020 11:54:43 AM +0000,2204053,121,,"(37.791535056009764, -122.44106677964068)",102,4,6,30
